"peak","gene.name"
"1","chr1_10109_10357","DDX11L1"
"2","chr1_267816_268196","AP006222.2"
"3","chr1_586028_586373","RP5-857K21.4"
"4","chr1_629721_630172","RP5-857K21.4"
"5","chr1_633793_634264","RP5-857K21.4"
"6","chr1_777634_779926","LINC01128"
"7","chr1_816881_817647","AL645608.2"
"8","chr1_819912_823500","AL645608.2"
"9","chr1_841243_843059","RP11-54O7.16"
"10","chr1_843966_845044","RP11-54O7.16"
"11","chr1_857960_858997","RP11-54O7.3"
"12","chr1_865576_866044","SAMD11"
"13","chr1_869449_870383","SAMD11"
"14","chr1_897294_897639","KLHL17"
"15","chr1_898356_899127","KLHL17"
"16","chr1_903617_907386","PLEKHN1"
"17","chr1_910105_910710","PLEKHN1"
"18","chr1_912809_913217","C1orf170"
"19","chr1_935538_935928","HES4"
"20","chr1_936873_937264","HES4"
"21","chr1_938017_943653","RP11-54O7.10"
"22","chr1_955330_955923","AGRN"
"23","chr1_958518_963388","AGRN"
"24","chr1_965294_968061","AGRN"
"25","chr1_972924_973923","AGRN"
"26","chr1_975429_976827","AGRN"
"27","chr1_978637_978690","AGRN"
"28","chr1_983870_984728","AGRN"
"29","chr1_993421_994016","RP11-465B22.3"
"30","chr1_994735_1006799","RP11-465B22.3"
"31","chr1_1008916_1009757","RNF223"
"32","chr1_1011497_1011703","RNF223"
"33","chr1_1016432_1028059","C1orf159"
"34","chr1_1031406_1044350","C1orf159"
"35","chr1_1050496_1050863","C1orf159"
"36","chr1_1065473_1072772","RP11-465B22.5"
"37","chr1_1073505_1075690","RP11-465B22.5"
"38","chr1_1079280_1080567","RP11-465B22.5"
"39","chr1_1104136_1104555","MIR429"
"40","chr1_1115011_1118473","TTLL10"
"41","chr1_1121177_1124087","TTLL10"
"42","chr1_1134636_1138947","TNFRSF18"
"43","chr1_1140810_1146832","TNFRSF18"
"44","chr1_1149951_1150736","TNFRSF4"
"45","chr1_1156136_1161349","SDF4"
"46","chr1_1162345_1163597","SDF4"
"47","chr1_1165365_1172585","SDF4"
"48","chr1_1179197_1181104","FAM132A"
"49","chr1_1181646_1184172","FAM132A"
"50","chr1_1189021_1189741","UBE2J2"
"51","chr1_1197018_1201988","UBE2J2"
"52","chr1_1202681_1209670","UBE2J2"
"53","chr1_1210271_1220028","UBE2J2"
"54","chr1_1221728_1223045","SCNN1D"
"55","chr1_1227637_1228271","ACAP3"
"56","chr1_1228773_1228965","ACAP3"
"57","chr1_1230651_1244728","ACAP3"
"58","chr1_1245493_1248050","ACAP3"
"59","chr1_1250170_1251592","CPSF3L"
"60","chr1_1259896_1261551","CPSF3L"
"61","chr1_1270769_1271177","DVL1"
"62","chr1_1272304_1275446","DVL1"
"63","chr1_1283907_1283946","DVL1"
"64","chr1_1284659_1285987","DVL1"
"65","chr1_1290148_1290609","MXRA8"
"66","chr1_1291206_1295884","MXRA8"
"67","chr1_1299072_1299347","MXRA8"
"68","chr1_1303221_1316444","AURKAIP1"
"69","chr1_1318996_1322194","CCNL2"
"70","chr1_1322872_1329280","CCNL2"
"71","chr1_1330394_1334148","CCNL2"
"72","chr1_1334702_1336854","CCNL2"
"73","chr1_1337491_1338146","MRPL20"
"74","chr1_1342948_1350181","MRPL20"
"75","chr1_1351473_1360609","RP4-758J18.7"
"76","chr1_1361359_1361669","TMEM88B"
"77","chr1_1370283_1377149","RP4-758J18.10"
"78","chr1_1389737_1389910","ATAD3C"
"79","chr1_1396153_1396646","ATAD3C"
